date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2022-03-21,75000,75400,73500,73600,163982,0,-2.2576,0,0
2022-03-22,74100,74600,73700,74400,207271,0,1.087,0,0
2022-03-23,75100,75500,74700,75300,174000,0,1.2097,0,0
2022-03-24,74500,75500,74500,75500,163016,0,0.2656,0,0
2022-03-25,74800,75400,73900,74200,203758,0,-1.7219,0,0
2022-03-28,73300,74900,73000,74600,250772,0,0.5391,0,0
2022-03-29,75400,75600,74700,75100,173596,0,0.6702,0,0
2022-03-30,75700,75700,74600,74800,236561,0,-0.3995,0,0
2022-03-31,75300,76400,75000,76400,306621,0,2.139,0,0
2022-04-01,76500,77000,75400,76200,237282,0,-0.2618,0,0
2022-04-04,75500,76100,74700,75500,177793,0,-0.9186,0,0
2022-04-05,75200,75800,74700,75300,128510,0,-0.2649,0,0
2022-04-06,75100,75900,74600,74800,152048,0,-0.664,0,0
2022-04-07,74000,74400,73100,73800,207878,0,-1.3369,0,0
2022-04-08,74200,74600,73600,74500,140302,0,0.9485,0,0
2022-04-11,74200,75600,74100,74900,155604,0,0.5369,0,0
2022-04-12,74900,74900,72600,72900,213766,0,-2.6702,0,0
2022-04-13,73500,74800,73000,74800,119235,0,2.6063,0,0
2022-04-14,74600,75200,74200,74800,153254,0,0.0,0,0
2022-04-15,73700,74400,72900,73300,146515,0,-2.0053,0,0
2022-04-18,72700,73400,72300,73100,120298,0,-0.2729,0,0
2022-04-19,73300,73800,73000,73600,116000,0,0.684,0,0
2022-04-20,73300,75000,73300,74400,176968,0,1.087,0,0
2022-04-21,75100,75200,74200,75100,174414,0,0.9409,0,0
2022-04-22,74200,74300,73600,73800,168464,0,-1.731,0,0
2022-04-25,73000,74000,72700,72800,192840,0,-1.355,0,0
2022-04-26,73400,73400,72400,72700,185533,0,-0.1374,0,0
2022-04-27,71100,71700,70700,71400,216299,0,-1.7882,0,0
2022-04-28,71900,73100,71500,73100,247673,0,2.381,0,0
2022-04-29,72600,73400,72500,73300,252247,0,0.2736,0,0
2022-05-02,72700,73800,72600,73800,118119,0,0.6821,0,0
2022-05-03,73100,74100,73100,73600,120969,0,-0.271,0,0
2022-05-04,73500,74500,73400,74000,151006,0,0.5435,0,0
2022-05-06,73700,74000,72600,72800,192431,0,-1.6216,0,0
2022-05-09,71900,73200,71800,71800,128558,0,-1.3736,0,0
2022-05-10,72100,72200,69600,70900,274237,0,-1.2535,0,0
2022-05-11,70200,71200,70100,70700,168605,0,-0.2821,0,0
2022-05-12,70800,71200,69900,69900,324238,0,-1.1315,0,0
2022-05-13,70800,75000,70700,75000,474540,0,7.2961,0,0
2022-05-16,75000,75000,73700,74400,157091,0,-0.8,0,0
2022-05-17,74400,76600,74300,75300,237851,0,1.2097,0,0
2022-05-18,75000,75900,74600,75200,196858,0,-0.1328,0,0
2022-05-19,74200,75400,73500,74400,263435,0,-1.0638,0,0
2022-05-20,74300,76900,74300,76000,235263,0,2.1505,0,0
2022-05-23,75500,76200,74600,75400,146725,0,-0.7895,0,0
2022-05-24,75100,76000,74600,75100,148283,0,-0.3979,0,0
2022-05-25,76400,76400,74600,75400,121100,0,0.3995,0,0
2022-05-26,74400,76000,73600,74000,187473,0,-1.8568,0,0
2022-05-27,74800,75100,74000,74700,178710,0,0.9459,0,0
2022-05-30,77400,82000,77200,81900,1023699,0,9.6386,0,0
2022-05-31,81900,81900,80200,80200,1117702,0,-2.0757,0,0
2022-06-02,82000,82000,79700,80200,341482,0,0.0,0,0
2022-06-03,80600,81100,80000,80100,202543,0,-0.1247,0,0
2022-06-07,79900,80900,79500,80300,355128,0,0.2497,0,0
2022-06-08,79700,81000,79600,80700,180525,0,0.4981,0,0
2022-06-09,80400,81600,80100,81400,581520,0,0.8674,0,0
2022-06-10,81300,81600,80400,80800,302694,0,-0.7371,0,0
2022-06-13,79400,79800,77500,77800,217420,0,-3.7129,0,0
2022-06-14,77400,77500,75600,77000,251534,0,-1.0283,0,0
2022-06-15,76500,77200,75400,76200,289979,0,-1.039,0,0
2022-06-16,76800,79900,76700,77500,246087,0,1.706,0,0
2022-06-17,77000,78700,76100,78000,281782,0,0.6452,0,0
2022-06-20,78000,78300,75300,75900,216021,0,-2.6923,0,0
2022-06-21,77500,78600,76000,77600,295841,0,2.2398,0,0
2022-06-22,77100,77700,75300,75600,343081,0,-2.5773,0,0
2022-06-23,76700,77500,75600,75800,331946,0,0.2646,0,0
2022-06-24,75500,77800,75500,76700,268252,0,1.1873,0,0
2022-06-27,76800,79900,76700,79500,241476,0,3.6506,0,0
2022-06-28,79600,81000,78900,81000,253770,0,1.8868,0,0
2022-06-29,80300,80900,79100,79300,283084,0,-2.0988,0,0
2022-06-30,79000,80000,77900,77900,363380,0,-1.7654,0,0
2022-07-01,79000,80800,77800,78600,280501,0,0.8986,0,0
2022-07-04,79100,79500,77300,78500,227337,0,-0.1272,0,0
2022-07-05,79300,80900,78600,80800,262482,0,2.9299,0,0
2022-07-06,79400,80900,77400,77800,270194,0,-3.7129,0,0
2022-07-07,79600,79700,77300,78700,224909,0,1.1568,0,0
2022-07-08,78200,79400,78200,78400,201762,0,-0.3812,0,0
2022-07-11,78400,79200,77800,78300,129487,0,-0.1276,0,0
2022-07-12,78400,79000,76500,76900,166886,0,-1.788,0,0
2022-07-13,77900,78400,76300,76800,216291,0,-0.13,0,0
2022-07-14,76200,77400,76000,76000,225050,0,-1.0417,0,0
2022-07-15,76900,76900,74800,75900,181131,0,-0.1316,0,0
2022-07-18,76100,77400,76000,76700,133526,0,1.054,0,0
